paper_id,title,authors,year,venue,doi,source_url,rl_algorithms,routing_meaning,study_type,metrics,relevance,novelty,reproducibility,evidence_scope,notion_url
1,Joint UAV Flight and Opportunistic Routing under Reinforcement Learning for Delay-Tolerant Networks,Xiao Wang; Shun-Ren Yang,2026,"arXiv preprint (cs.AI), arXiv:2608.04590v1",https://doi.org/10.48550/arXiv.2608.04590,https://arxiv.org/abs/2608.04590,"[""PPO"",""MARL""]","[""Packet routing"",""Joint optimization""]",Simulation,"[""PDR"",""Packet Loss""]",91,4,보통,전문,https://app.notion.com/3c4ad79990e681ceb0abd6243a8fbe61
3,Predictive-Q Learning Based Interference-and-Mobility Aware Dual-Path Routing for UAV Swarm Networks with Mobile Edge Computing,Zhihao Dong; Huakui Sun; Yueyue Tao; Daosen Zhai,2026,"Computers, Materials & Continua, 88(3), Article 77",https://doi.org/10.32604/cmc.2026.084301,https://www.techscience.com/cmc/v88n3/68155,"[""Q-learning""]","[""Packet routing""]",Simulation,"[""Energy"",""PDR"",""Delay""]",100,4,보통,전문,https://app.notion.com/3c6ad79990e681e999fdc7b22c9cefab
4,Dynamic Routing Optimisation for UAV Network Based on GA-HAPPO Algorithm,Hefei Yin; Yuanyuan Wu; Zikai Feng; Mengxing Huang,2025,"2025 5th International Conference on Digital Society and Intelligent Systems (DSInS), IEEE",https://doi.org/10.1109/DSInS68311.2025.11329593,https://drive.google.com/file/d/1P3tFnmMwEzLggXwX6pUxjva9uKLGuFGe/view?usp=drivesdk,"[""PPO"",""MARL""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Energy"",""Delay"",""Throughput""]",86,2,매우 낮음,전문,https://app.notion.com/3c6ad79990e6815aba2dfae117f591f5
5,Interference-Aware Multi-Flow Routing for UAV Ad Hoc Networks via GCN Actor-Critic Learning,Jun Liu; Lingyun Zhou; Tianlan Mo; Xinwei Li; Zheng Hao,2026,"2026 IEEE 3rd International Conference on Electronics, Communications and Intelligent Science (ECIS)",https://doi.org/10.1109/ECIS69634.2026.11604222,https://drive.google.com/file/d/1N4ZAokD0cAE_fWREnb2SDU3EPaBG3iXD/view?usp=drivesdk,"[""기타""]","[""Packet routing"",""Joint optimization""]",Simulation,"[""Packet Loss""]",95,2,매우 낮음,전문,https://app.notion.com/3c6ad79990e68110a280e120d1855e3b
6,AoI-Aware Joint Sampling-Buffering-Routing Optimization for Autonomous UAV Swarms via a MARL Approach,Haoxu Wu; Shaohua Wu; Aimin Li; Siqi Meng; Qinyu Zhang,2026,IEEE Transactions on Mobile Computing (accepted author version),https://doi.org/10.1109/TMC.2026.3699777,https://drive.google.com/file/d/1f0lwArJ9reXbKfhgebqzwPVCMKU9Zs3k/view?usp=drivesdk,"[""PPO"",""MARL""]","[""Packet routing"",""Joint optimization""]",Simulation,"[""PDR"",""Delay"",""Throughput"",""Packet Loss""]",99,4,보통,전문,https://app.notion.com/3c6ad79990e681449c8fc41bbd0ba40b
7,DP-MADDPG: Dual-Path Redundant Routing for UAV Swarms via Multi-Agent Reinforcement Learning,Haisen Yin; Zhi Zhang; Jiajie Zhao; Jiahe Chao,2026,2026 IEEE International Conference on Communications Workshops (ICC Workshops),https://doi.org/10.1109/ICCWorkshops63917.2026.11586688,https://drive.google.com/file/d/1DotBQnP0_BcggpMa15nbaaLd1IJ-InNK/view?usp=drivesdk,"[""DDPG"",""MARL""]","[""Packet routing""]",Simulation,"[""PDR"",""Delay""]",100,3,매우 낮음,전문,https://app.notion.com/3c6ad79990e681f797a2f6d9f140359b
8,"Joint Trajectory Control, Frequency Allocation, and Routing for UAV Swarm Networks: A Multi-Agent Deep Reinforcement Learning Approach",Muhammad Morshed Alam; Sangman Moh,2024,"IEEE Transactions on Mobile Computing, Vol. 23, No. 12",https://doi.org/10.1109/TMC.2024.3403890,https://drive.google.com/file/d/1V6UqiR9i4delUODNlQO0rzQqnFIDjHA0/view?usp=drivesdk,"[""DDPG"",""MARL""]","[""Flight path"",""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Routing Overhead""]",98,4,낮음,전문,https://app.notion.com/3c6ad79990e681eeb328ec7c7e81f895
9,TRUAV: Distributed Multi-Agent Reinforcement Learning for Trajectory Planning and Routing Enhancement in UAV-Aided IoT-Enabled VANETs,Muhammad Umar Farooq Qaisar; Lin Zhang; Zhen Chen; Wajdy Othman; Shehzad Ashraf Chaudhry; Chang Liu,2026,arXiv preprint (submitted to IEEE Internet of Things Magazine),https://doi.org/10.48550/arXiv.2607.23734,https://arxiv.org/abs/2607.23734,"[""Q-learning"",""MARL""]","[""Trajectory"",""Joint optimization""]",Simulation,"[""Energy"",""PDR"",""Delay"",""Throughput""]",93,3,높음,전문,https://app.notion.com/3c6ad79990e6816982a8f17bed2dd105
10,Learn to Access and Backhaul the Sky: Multi-Scale Radio Map Guided Multi-UAV Cooperation,Yifeng Yuan; Shijian Gao,2026,arXiv preprint,https://doi.org/10.48550/arXiv.2606.06954,https://arxiv.org/abs/2606.06954,"[""PPO"",""MARL""]","[""Packet routing"",""Resource allocation"",""Joint optimization""]",Simulation,"[""Throughput""]",93,4,보통,전문,https://app.notion.com/3c6ad79990e681c480d4ffde3f4d508e
11,6. Adaptive Intelligent Routing in Ultra-High-Speed FANETs Using Deep Reinforcement Learning,Yifan Shou; Dongsheng Liu; Xin Hou,2026,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/TVT.2026.3668740,https://drive.google.com/file/d/1x2t-6p_VDEnPhQ1SqWUCaSbnhKGJxbIk/view?usp=drivesdk,"[""DQN"",""Double DQN"",""기타""]","[""Packet routing""]",,"[""PDR"",""Delay"",""Energy""]",5,4,,전문,https://app.notion.com/3c7ad79990e6811da0e3ca071599b67b
